SAMPLE_ID	CTBP1	AR
TCGA-VP-AA1N-01	0.1976	-0.9768
TCGA-XK-AAIR-01	-1.6125	1.3483
TCGA-XK-AAIV-01	-0.6341	0.2135
TCGA-XK-AAIW-01	0.5451	1.056
TCGA-XK-AAJ3-01	-0.7789	0.6114
TCGA-XK-AAJA-01	0.6829	-0.4681
TCGA-XK-AAJP-01	-1.5592	0.3704
TCGA-XK-AAJR-01	-0.5157	0.0087
TCGA-XK-AAJT-01	-0.6131	-0.8021
TCGA-XK-AAJU-01	-0.063	-0.4278
TCGA-XK-AAK1-01	-0.6342	-0.7807
TCGA-Y6-A9XI-01	0.1022	0.6384
TCGA-YL-A8SI-01	-0.389	0.037
TCGA-YL-A9WL-01	2.5496	0.3908
TCGA-YL-A9WX-01	-0.4067	0.0388
TCGA-YL-A9WY-01	-0.1029	-0.4506
TCGA-ZG-A9KY-01	2.4531	1.6405
TCGA-ZG-A9L0-01	-0.6888	-0.235
TCGA-ZG-A9L1-01	-0.7478	-0.0543
TCGA-ZG-A9L2-01	0.542	-0.6604
TCGA-ZG-A9L4-01	-0.6743	-0.577
TCGA-ZG-A9L5-01	-1.6702	0.7902
TCGA-ZG-A9L6-01	-0.6035	-0.3081
TCGA-ZG-A9L9-01	0.6206	-1.0624
TCGA-ZG-A9LB-01	0.606	-0.9054
TCGA-ZG-A9LM-01	-0.0124	-0.9153
TCGA-ZG-A9LN-01	-0.6771	-0.9907
TCGA-ZG-A9LS-01	-0.2895	-0.9054
TCGA-ZG-A9LU-01	0.0251	-0.9659
TCGA-ZG-A9LY-01	-1.2454	-0.5876
TCGA-ZG-A9LZ-01	0.0838	-0.434
TCGA-ZG-A9M4-01	1.2422	0.3531
TCGA-ZG-A9MC-01	-0.1525	0.3809
TCGA-ZG-A9N3-01	-0.8757	-0.4225
TCGA-ZG-A9ND-01	-1.3476	-0.3872
TCGA-ZG-A9NI-01	-0.1546	-0.9326
TCGA-CH-5737-01	-1.5086	0.4263
TCGA-CH-5738-01	-0.8637	0.5281
TCGA-CH-5739-01	-0.7682	1.1591
TCGA-CH-5740-01	-0.1616	-0.2513
TCGA-CH-5741-01	-0.2863	-0.5558
TCGA-CH-5743-01	-1.1596	-0.3848
TCGA-CH-5744-01	0.7303	0.3038
TCGA-CH-5745-01	-1.3565	-0.0072
TCGA-CH-5746-01	-0.2709	0.4475
TCGA-CH-5748-01	-1.3396	1.0406
TCGA-CH-5750-01	-0.9268	1.4049
TCGA-CH-5751-01	-1.8087	3.5729
TCGA-CH-5752-01	-0.8636	3.2571
TCGA-CH-5753-01	-2.6216	2.4022
TCGA-CH-5754-01	-1.1739	1.2211
TCGA-CH-5761-01	-0.2142	4.2114
TCGA-CH-5762-01	-1.1954	0.7715
TCGA-CH-5763-01	-1.7225	0.2718
TCGA-CH-5764-01	-0.6228	1.2848
TCGA-CH-5765-01	-0.9364	0.5665
TCGA-CH-5766-01	-1.0449	0.6202
TCGA-CH-5768-01	-0.0148	0.7183
TCGA-CH-5769-01	0.0298	-0.1246
TCGA-CH-5771-01	-0.8625	0.4502
TCGA-CH-5772-01	-1.7687	0.793
TCGA-CH-5788-01	-0.6003	2.0794
TCGA-CH-5789-01	-0.8585	0.8361
TCGA-CH-5790-01	-0.0723	0.5447
TCGA-CH-5791-01	-0.088	0.7893
TCGA-CH-5792-01	-0.4247	0.4884
TCGA-CH-5794-01	1.1661	0.2579
TCGA-EJ-5494-01	-0.2746	1.644
TCGA-EJ-5495-01	-1.1951	2.0324
TCGA-EJ-5496-01	-1.9552	0.8904
TCGA-EJ-5497-01	-1.4157	1.0398
TCGA-EJ-5498-01	-1.3173	1.3296
TCGA-EJ-5499-01	-0.3028	-0.1456
TCGA-EJ-5501-01	0.5475	0.7514
TCGA-EJ-5502-01	-0.4785	0.7503
TCGA-EJ-5503-01	-0.0019	0.5899
TCGA-EJ-5504-01	-1.6529	0.4792
TCGA-EJ-5505-01	-1.5706	1.0419
TCGA-EJ-5506-01	-0.9199	0.363
TCGA-EJ-5507-01	0.0378	0.0844
TCGA-EJ-5508-01	-1.2641	1.5731
TCGA-EJ-5509-01	-0.4704	1.647
TCGA-EJ-5510-01	0.3896	0.7066
TCGA-EJ-5511-01	-0.3396	1.4392
TCGA-EJ-5512-01	-0.8086	-0.154
TCGA-EJ-5514-01	-1.6835	2.1798
TCGA-EJ-5515-01	-1.3676	0.8183
TCGA-EJ-5516-01	-2.0388	1.1854
TCGA-EJ-5517-01	-1.4128	0.0122
TCGA-EJ-5518-01	-1.002	2.4084
TCGA-EJ-5519-01	-0.3727	1.7728
TCGA-EJ-5521-01	1.1188	-0.3723
TCGA-EJ-5522-01	-0.8766	1.0234
TCGA-EJ-5524-01	-1.2139	0.8644
TCGA-EJ-5525-01	-0.5303	2.9165
TCGA-EJ-5526-01	-2.1425	1.0298
TCGA-EJ-5527-01	-1.3218	1.447
TCGA-EJ-5530-01	0.1811	2.2556
TCGA-EJ-5531-01	-0.7698	1.4719
TCGA-EJ-5532-01	-1.7877	1.2635
TCGA-EJ-5542-01	-1.2452	0.9228
TCGA-V1-A9O5-06	0.6707	0.7072
