Hybridization REF	CTBP1|1487	AR|367
TCGA-G9-6338-01A-12R-1965-07	3629.7548	150.3198
TCGA-G9-6499-01A-12R-1965-07	3628.5389	175.9075
TCGA-KC-A4BV-01A-31R-A26U-07	3618.7823	473.2723
TCGA-ZG-A9LZ-01A-11R-A41O-07	3618.6624	389.3443
TCGA-HC-7209-01A-11R-2118-07	3614.5838	1159.8916
TCGA-EJ-AB27-01A-11R-A41O-07	3604.5504	611.715
TCGA-YL-A8SC-01A-11R-A37L-07	3599.5824	1769.6391
TCGA-EJ-A7NK-01A-12R-A352-07	3595.5348	440.2943
TCGA-V1-A8MJ-01A-11R-A36G-07	3593.1232	448.5747
TCGA-HC-A8D1-01A-11R-A36G-07	3592.9441	576.8463
TCGA-H9-7775-01A-11R-2118-07	3590.8432	853.6606
TCGA-G9-6356-11A-01R-1789-07	3590.3736	292.4654
TCGA-EJ-7321-01A-31R-2263-07	3584.273	734.6333
TCGA-J4-A67T-01A-11R-A311-07	3582.1551	391.174
TCGA-G9-6365-11A-01R-1789-07	3582.0293	106.1093
TCGA-EJ-8474-01A-11R-2403-07	3578.8207	341.6014
TCGA-EJ-5507-01A-01R-1580-07	3574.8159	666.0406
TCGA-G9-6364-01A-21R-1789-07	3567.7714	597.6961
TCGA-CH-5769-01A-11R-1580-07	3567.1504	554.4862
TCGA-XA-A8JR-01A-11R-A36G-07	3566.4984	437.025
TCGA-ZG-A9LU-01A-11R-A41O-07	3562.7219	105.4862
TCGA-HC-7080-01A-11R-1965-07	3561.4694	714.8311
TCGA-J4-A83I-01A-11R-A36G-07	3560.2877	744.6962
TCGA-V1-A9Z8-01A-11R-A41O-07	3559.3294	150.8924
TCGA-V1-A9OL-01A-11R-A41O-07	3559.0175	870.1754
TCGA-G9-7509-01A-11R-A41O-07	3554.5633	486.5285
TCGA-EJ-7782-01A-11R-2118-07	3547.9555	2163.7982
TCGA-YL-A8SO-01B-31R-A37L-07	3539.12	258.6667
TCGA-EJ-5503-01A-01R-1580-07	3536.9454	935.867
TCGA-HC-7818-01A-11R-2118-07	3527.6634	981.5182
TCGA-ZG-A9LM-01A-11R-A41O-07	3526.9596	132.4965
TCGA-YL-A9WK-01A-11R-A37L-07	3525.9058	345.8371
TCGA-CH-5768-01A-11R-1580-07	3524.6124	1004.3993
TCGA-V1-A8MK-01A-11R-A36G-07	3524.2401	355.3063
TCGA-XJ-A9DK-01A-11R-A37L-07	3521.6824	254.2353
TCGA-EJ-7784-01A-11R-2118-07	3518.8552	1481.4356
TCGA-TP-A8TT-01A-12R-A41O-07	3518.0766	601.5038
TCGA-EJ-A7NJ-01A-22R-A352-07	3512.1845	717.0268
TCGA-M7-A71Y-01A-22R-A32O-07	3505.5066	173.4402
TCGA-J4-A83J-11A-11R-A36G-07	3502.3214	370.7296
TCGA-2A-A8VO-01A-11R-A37L-07	3501.1747	319.0185
TCGA-KK-A7AV-01A-11R-A32O-07	3498.8427	233.5613
TCGA-EJ-A8FP-01A-21R-A36G-07	3492.3095	508.2316
TCGA-HC-7745-01A-11R-2118-07	3491.5984	676.6598
TCGA-XK-AAJU-01A-11R-A41O-07	3478.7011	392.6564
TCGA-CH-5761-11A-01R-1580-07	3475.6817	576.9891
TCGA-CH-5790-01A-11R-1580-07	3469.7863	911.7417
TCGA-KK-A6E2-01A-11R-A311-07	3455.6138	646.1415
TCGA-CH-5791-01A-11R-1580-07	3454.8397	1042.3137
TCGA-YL-A8SB-01A-31R-A37L-07	3449.117	553.513
TCGA-YL-A9WY-01A-11R-A41O-07	3440.6148	380.5251
TCGA-H9-A6BX-01A-31R-A311-07	3436.017	231.9546
TCGA-M7-A721-01A-12R-A32O-07	3431.4321	524.5981
TCGA-HC-7081-01A-11R-1965-07	3425.9336	2238.732
TCGA-EJ-A8FN-01A-11R-A352-07	3419.3595	458.292
TCGA-YL-A8SK-01B-21R-A37L-07	3418.2582	305.8925
TCGA-HC-A76W-01A-11R-A33R-07	3409.9714	549.8331
TCGA-XJ-A83G-01A-11R-A352-07	3409.0161	147.1456
TCGA-HC-A8CY-01A-11R-A36G-07	3408.9296	673.5039
TCGA-G9-6342-11A-02R-1965-07	3405.2136	184.6335
TCGA-EJ-7327-01A-11R-2118-07	3403.9951	1771.099
TCGA-M7-A720-01A-12R-A32O-07	3399.3282	378.3784
TCGA-ZG-A9MC-01A-31R-A41O-07	3393.3984	824.3243
TCGA-V1-A9ZG-01A-11R-A41O-07	3393.0814	711.6654
TCGA-ZG-A9NI-01A-11R-A41O-07 	3391.3684	123.2443
TCGA-CH-5740-01A-11R-1580-07	3384.6692	486.8764
TCGA-HC-7211-11A-01R-2118-07	3384.1195	638.4017
TCGA-KK-A8IC-01A-11R-A36G-07	3377.577	583.3959
TCGA-J4-AATV-01A-11R-A41O-07	3369.7719	323.6164
TCGA-YL-A8HJ-01A-11R-A36G-07	3362.5402	610.4331
TCGA-EJ-A46I-01A-12R-A26U-07	3358.8605	585.9698
TCGA-HC-8260-11A-01R-2263-07	3356.4972	603.2309
TCGA-EJ-AB20-01A-12R-A41O-07	3355.7539	82.9426
TCGA-J4-A6G1-01A-11R-A311-07	3340.8233	197.7629
TCGA-J4-A83L-01A-11R-A352-07	3340.6479	555.4307
TCGA-HC-7232-01A-11R-2118-07	3336.7875	1004.5421
TCGA-CH-5761-01A-11R-1580-07	3334.5182	2868.8187
TCGA-EJ-A8FU-01A-11R-A36G-07	3333.4995	392.283
TCGA-FC-7708-01A-11R-2118-07	3332.4831	830.7786
TCGA-EJ-7327-11A-01R-2118-07	3329.6141	1353.3429
TCGA-EJ-A7NG-01A-31R-A33R-07	3321.3235	459.821
TCGA-G9-6384-01A-11R-1789-07	3321.2254	1278.7392
TCGA-EJ-8472-01A-11R-2403-07	3315.1855	347.281
TCGA-J9-A52C-01A-11R-A26U-07	3314.0157	45.1275
TCGA-V1-A8MU-01A-11R-A37L-07	3310.4224	175.6051
TCGA-KC-A4BN-01A-61R-A250-07	3310.2438	540.3786
TCGA-KK-A7AP-01A-12R-A33R-07	3306.1446	526.2846
TCGA-J4-AAU2-01A-11R-A41O-07	3304.9892	505.332
TCGA-KK-A8IK-01A-11R-A36G-07	3300.1783	247.3538
TCGA-G9-7522-01A-11R-2263-07	3289.4461	567.5413
TCGA-KK-A8IB-01A-11R-A36G-07	3289.3668	130.343
TCGA-CH-5746-01A-11R-1580-07	3280.5397	859.8726
TCGA-EJ-5494-01A-01R-1580-07	3276.975	1498.5015
TCGA-HC-7742-11A-01R-2118-07	3275.2609	926.0248
TCGA-G9-6343-01A-21R-1965-07	3272.0364	183.7386
TCGA-V1-A9OH-01A-11R-A41O-07	3271.6111	261.6596
TCGA-V1-A9O5-01A-11R-A41O-07	3270.1412	543.9432
TCGA-CH-5741-01A-11R-1580-07	3265.8273	324.3533
TCGA-HC-A4ZV-01A-11R-A26U-07	3263.7769	1582.1206
TCGA-ZG-A9LS-01A-12R-A41O-07	3262.7958	137.7634
TCGA-J4-AATZ-01A-11R-A41O-07	3258.3337	1536.035
TCGA-KK-A6DY-01A-12R-A311-07	3257.7204	348.4414
TCGA-V1-A8WW-01A-11R-A37L-07	3257.6741	430.4539
TCGA-HC-8260-01A-11R-2263-07	3255.8281	556.9899
TCGA-J9-A8CP-01A-11R-A352-07	3251.2996	320.1862
TCGA-EJ-5499-01A-01R-1580-07	3250.1509	543.3133
TCGA-HC-7819-11A-01R-2118-07	3243.7815	985.301
TCGA-HC-A6AP-01A-11R-A30B-07	3239.8121	39.0173
TCGA-VP-A87H-01A-11R-A352-07	3239.2168	522.1315
TCGA-HC-7747-11A-01R-2118-07	3236.6785	1165.1591
TCGA-VN-A88I-01A-11R-A352-07	3227.069	127.0115
TCGA-G9-6384-11A-01R-1858-07	3218.6672	491.289
TCGA-EJ-5511-01A-01R-1580-07	3214.99	1389.1579
TCGA-QU-A6IO-01A-11R-A31N-07	3210.1564	27.4725
TCGA-XJ-A9DI-01A-11R-A37L-07	3208.2298	521.2714
TCGA-KK-A8I9-01A-11R-A36G-07	3203.7346	302.7027
TCGA-G9-6378-01A-11R-1789-07	3199.5791	245.9988
TCGA-KC-A7FE-01A-12R-A33R-07	3199.2117	381.4468
TCGA-KC-A4BL-01A-31R-A250-07	3187.0809	625.5319
TCGA-XJ-A9DX-01A-11R-A37L-07	3185.59	215.8309
TCGA-EJ-5519-01A-01R-1580-07	3183.4904	1567.2176
TCGA-HC-7750-01A-11R-2118-07	3174.6814	638.5088
TCGA-J4-A83N-01A-11R-A352-07	3168.3267	267.2328
TCGA-YL-A8SI-01A-11R-A41O-07	3167.9324	640.7369
TCGA-EJ-A65G-01A-21R-A29R-07	3167.5622	230.4574
TCGA-X4-A8KS-01A-12R-A36G-07	3162.7626	64.5161
TCGA-2A-A8W1-01A-11R-A37L-07	3160.4061	608.6649
TCGA-KK-A8I7-01A-21R-A36G-07	3158.0544	564.8285
TCGA-V1-A9OX-01A-11R-A41O-07	3151.5976	124.0734
TCGA-YL-A9WX-01A-21R-A41O-07	3151.0182	641.7392
